JobKey,JobId,JobTitle,JobLevel,JobTag
736,SoftwareEngineerPrinciple,Software Engineer,Principle,Distributed Systems (Back-End)
737,DataScientistE5,Data Scientist,E5,Security
738,ProductManagerAssociateProductManager,Product Manager,Associate Product Manager,Mobile (iOS + Android)
739,SoftwareEngineerPMTS,Software Engineer,PMTS,Distributed Systems (Back-End)
740,SoftwareEngineerTribeStep,Software Engineer,Tribe Step,Distributed Systems (Back-End)
741,DataScientistAnalyst,Data Scientist,Analyst,Quant
742,SoftwareEngineerMTSIV,Software Engineer,MTS IV,Full Stack
743,DataScientistGrade6,Data Scientist,Grade 6,ML / AI
744,SoftwareEngineeringManagerL3,Software Engineering Manager,L3,Distributed Systems (Back-End)
745,SoftwareEngineerAdvanced,Software Engineer,Advanced,Software
746,DataScientist25,Data Scientist,25,ML / AI
747,SolutionArchitectSeniorSDE,Solution Architect,Senior SDE,Distributed Systems (Back-End)
748,SoftwareEngineeringManagerMasterSoftwareEng,Software Engineering Manager,Master Software Eng,Full Stack
749,SoftwareEngineeringManagerLM,Software Engineering Manager,LM,DevOps
750,ProductManagerPrincipalSWE,Product Manager,Principal SWE,Distributed Systems (Back-End)
751,SoftwareEngineerTeamLeader,Software Engineer,Team Leader,API Development (Back-End)
752,SoftwareEngineerE1,Software Engineer,E1,JAVA
753,SoftwareEngineerExecutiveDirector/Vice-President,Software Engineer,Executive Director / Vice-President,Distributed Systems (Back-End)
754,DataScientist13,Data Scientist,13,ML / AI
755,SoftwareEngineeringManagerExecutiveDirector/Vice-President,Software Engineering Manager,Executive Director / Vice-President,Full Stack
756,SolutionArchitectM4,Solution Architect,M4,Database
757,SoftwareEngineersde3,Software Engineer,sde3,Web Development (Front-End)
758,Recruiteric4,Recruiter,ic4,Hardware
759,HardwareEngineerStaffEngineer,Hardware Engineer,Staff Engineer,Digital
760,DataScientistDistinguishedMTS,Data Scientist,Distinguished MTS,ML / AI
761,SoftwareEngineeric4,Software Engineer,ic4,API Development (Back-End)
762,SolutionArchitectGrade11,Solution Architect,Grade 11,Networking
763,SoftwareEngineerMid-level,Software Engineer,Mid-level,Testing (SDET)
764,SoftwareEngineerLeadMemberofTechnicalStaff,Software Engineer,Lead Member of Technical Staff,Distributed Systems (Back-End)
765,SoftwareEngineeringManagerDevManager,Software Engineering Manager,Dev Manager,Full Stack
766,SoftwareEngineeringManagerX6,Software Engineering Manager,X6,Mobile (iOS + Android)
767,SoftwareEngineerGrade9,Software Engineer,Grade 9,Full Stack
768,DataScientistL24,Data Scientist,L24,ML / AI
769,SoftwareEngineeringManager28,Software Engineering Manager,28,API Development (Back-End)
770,SoftwareEngineerSeniorComputerScientist,Software Engineer,Senior Computer Scientist,API Development (Back-End)
771,SoftwareEngineeringManagernan,Software Engineering Manager,nan,ML / AI
772,DataScientistSoftwareEngineer(SWE),Data Scientist,Software Engineer (SWE),ML / AI
773,SolutionArchitectIC4,Solution Architect,IC4,Security
774,SolutionArchitectL2,Solution Architect,L2,Full Stack
775,ProductManagerGroupProductLineManager,Product Manager,Group Product Line Manager,DevOps
776,SoftwareEngineerAssociateDirector,Software Engineer,Associate Director,Distributed Systems (Back-End)
777,SoftwareEngineer25,Software Engineer,25,Security
778,SoftwareEngineerSeniorStaffSoftwareArchitect,Software Engineer,Senior Staff Software Architect,DevOps
779,DataScientistManager,Data Scientist,Manager,Data Science
780,ProductManagerAssociateDirector,Product Manager,Associate Director,Product
781,SolutionArchitectmaster,Solution Architect,master,Full Stack
782,DataScientist4,Data Scientist,4,ML / AI
783,BusinessAnalystVicePresident,Business Analyst,Vice President,Business Analyst
784,DataScientistX5,Data Scientist,X5,ML / AI
785,SoftwareEngineeringManagerGrade11,Software Engineering Manager,Grade 11,Mobile (iOS + Android)
786,SoftwareEngineerT1,Software Engineer,T1,Security
787,SoftwareEngineerSoftwareEngineerAnalyst,Software Engineer,Software Engineer Analyst,DevOps
788,SoftwareEngineerentrylevel,Software Engineer,entry level,Distributed Systems (Back-End)
789,DataScientistSeniordatascientist,Data Scientist,Senior data scientist,Data analysis
790,SoftwareEngineeringManager4,Software Engineering Manager,4,Distributed Systems (Back-End)
791,DataScientist15,Data Scientist,15,ML / AI
792,DataScientistSpecialist,Data Scientist,Specialist,ML / AI
793,SoftwareEngineerSoftwareEngineer5.5,Software Engineer,Software Engineer 5.5,ML / AI
794,SoftwareEngineeringManagerSeniormanagerofengineering,Software Engineering Manager,Senior manager of engineering,Distributed Systems (Back-End)
795,DataScientistSeniorManager,Data Scientist,Senior Manager,ML / AI
796,SoftwareEngineeringManagerDirectorofEngineering,Software Engineering Manager,Director of Engineering,Distributed Systems (Back-End)
797,SoftwareEngineerSr.SoftwareEngineer,Software Engineer,Sr. Software Engineer,Full Stack
798,DataScientistAssociate,Data Scientist,Associate,ML / AI
799,SolutionArchitectMemberofTechnicalStaff(MTS1),Solution Architect,Member of Technical Staff (MTS 1),Security
800,HardwareEngineer59,Hardware Engineer,59,Hardware
801,DataScientistIC-3,Data Scientist,IC-3,ML / AI
802,SoftwareEngineerSeniordeveloper,Software Engineer,Senior developer,Full Stack
